zone_id,annee,cumul_pluie_hivernage_mm,nb_jours_pluie,pluie_max_24h_mm,pluie_max_72h_mm,hauteur_crue_fleuve_m,inondation,duree_submersion_jours,is_riverain
Z0001,2015,354.6,33,31.0,41.0,,1,1,0
Z0001,2016,455.9,35,27.4,49.6,,1,4,0
Z0001,2017,327.1,24,25.1,45.5,,1,6,0
Z0001,2018,275.3,30,11.9,25.2,,1,1,0
Z0001,2019,545.2,36,11.4,13.9,,1,5,0
Z0001,2020,536.7,37,10.0,14.7,,1,1,0
Z0001,2021,424.5,29,22.4,27.4,,1,6,0
Z0001,2022,502.9,41,18.8,29.4,,0,0,0
Z0001,2023,371.6,29,13.4,27.2,,1,9,0
Z0001,2024,413.5,25,13.4,22.4,,1,1,0
Z0002,2015,377.0,26,11.9,22.7,,0,0,0
Z0002,2016,379.2,24,10.0,17.0,,0,0,0
Z0002,2017,436.2,31,18.8,26.7,,0,0,0
Z0002,2018,289.3,17,13.6,22.3,,0,0,0
Z0002,2019,394.8,20,17.2,25.9,,0,0,0
Z0002,2020,687.7,50,59.7,122.4,,0,0,0
Z0002,2021,477.3,33,16.7,34.6,,1,1,0
Z0002,2022,440.6,35,17.7,28.2,,0,0,0
Z0002,2023,436.2,31,13.5,28.1,,1,1,0
Z0002,2024,633.4,50,45.1,66.8,,0,0,0
Z0003,2015,281.7,24,13.5,29.3,,0,0,0
Z0003,2016,612.7,46,21.9,34.0,,0,0,0
Z0003,2017,465.7,32,17.7,35.3,,0,0,0
Z0003,2018,382.5,24,17.2,36.0,,0,0,0
Z0003,2019,394.3,33,10.8,21.3,,0,0,0
Z0003,2020,555.8,34,43.0,93.6,,1,8,0
Z0003,2021,351.9,28,29.7,45.0,,0,0,0
Z0003,2022,507.6,39,22.1,46.9,,0,0,0
Z0003,2023,265.8,22,20.9,37.0,,0,0,0
Z0003,2024,400.1,27,10.0,14.2,,0,0,0
Z0004,2015,474.6,33,74.7,148.8,,1,5,0
Z0004,2016,353.2,30,10.0,20.1,,0,0,0
Z0004,2017,643.0,41,39.8,48.1,,0,0,0
Z0004,2018,366.4,20,16.4,25.9,,0,0,0
Z0004,2019,378.7,28,62.5,122.7,,0,0,0
Z0004,2020,547.4,29,15.2,26.9,,0,0,0
Z0004,2021,320.7,18,33.1,47.1,,1,28,0
Z0004,2022,280.9,28,16.2,26.9,,0,0,0
Z0004,2023,189.0,16,10.0,17.6,,0,0,0
Z0004,2024,388.4,26,24.0,34.1,,0,0,0
Z0005,2015,536.8,41,20.1,37.8,,0,0,0
Z0005,2016,351.9,23,34.0,51.2,,0,0,0
Z0005,2017,352.2,23,20.9,38.0,,0,0,0
Z0005,2018,444.6,28,26.2,46.6,,0,0,0
Z0005,2019,348.8,23,19.9,34.1,,0,0,0
Z0005,2020,402.2,25,22.8,37.9,,0,0,0
Z0005,2021,351.0,22,16.1,34.1,,0,0,0
Z0005,2022,552.0,30,32.8,53.0,,0,0,0
Z0005,2023,360.1,25,17.9,33.1,,0,0,0
Z0005,2024,401.0,26,26.6,36.9,,0,0,0
Z0006,2015,338.4,22,18.1,29.6,,0,0,0
Z0006,2016,410.8,30,10.0,17.4,,1,1,0
Z0006,2017,350.1,36,15.1,20.4,,0,0,0
Z0006,2018,283.6,18,44.4,55.3,,1,4,0
Z0006,2019,352.8,26,10.0,17.0,,0,0,0
Z0006,2020,478.0,28,62.2,91.6,,1,3,0
Z0006,2021,323.4,26,27.9,55.4,,1,13,0
Z0006,2022,407.4,30,10.7,14.2,,0,0,0
Z0006,2023,425.3,25,12.8,27.6,,1,8,0
Z0006,2024,552.9,43,19.1,26.3,,0,0,0
Z0007,2015,457.1,30,43.8,53.6,,0,0,0
Z0007,2016,370.9,22,16.3,27.1,,0,0,0
Z0007,2017,254.8,19,20.0,37.2,,0,0,0
Z0007,2018,427.9,33,21.5,46.3,,1,4,0
Z0007,2019,362.4,31,10.0,17.7,,0,0,0
Z0007,2020,397.0,22,10.0,20.2,,0,0,0
Z0007,2021,432.0,27,17.6,38.8,,0,0,0
Z0007,2022,653.7,41,23.0,41.4,,0,0,0
Z0007,2023,261.8,20,17.6,32.9,,0,0,0
Z0007,2024,373.7,21,17.5,35.7,,0,0,0
Z0008,2015,472.6,31,51.8,99.3,,0,0,0
Z0008,2016,523.1,39,15.9,32.5,,0,0,0
Z0008,2017,619.5,45,14.2,23.2,,0,0,0
Z0008,2018,366.4,28,17.4,31.1,,0,0,0
Z0008,2019,317.6,15,10.0,19.8,,0,0,0
Z0008,2020,448.8,32,15.3,25.0,,0,0,0
Z0008,2021,703.0,50,19.1,26.5,,0,0,0
Z0008,2022,632.2,49,13.7,17.6,,0,0,0
Z0008,2023,660.1,50,23.9,45.8,,0,0,0
Z0008,2024,702.8,46,47.7,83.1,,0,0,0
Z0009,2015,525.7,41,25.7,39.6,,0,0,0
Z0009,2016,341.1,20,12.2,22.6,,0,0,0
Z0009,2017,444.5,33,24.4,53.5,,0,0,0
Z0009,2018,431.9,33,18.2,32.3,,0,0,0
Z0009,2019,435.7,28,29.5,56.4,,0,0,0
Z0009,2020,399.3,30,14.6,30.8,,1,2,0
Z0009,2021,339.1,21,15.5,22.3,,0,0,0
Z0009,2022,469.7,33,19.6,33.2,,0,0,0
Z0009,2023,325.2,23,10.0,12.2,,0,0,0
Z0009,2024,346.5,21,23.3,37.8,,0,0,0
Z0010,2015,328.6,22,19.6,29.9,,0,0,0
Z0010,2016,381.3,28,35.7,62.7,,0,0,0
Z0010,2017,732.7,47,27.9,51.3,,1,28,0
Z0010,2018,434.0,35,12.6,24.5,,1,4,0
Z0010,2019,393.5,32,59.3,111.4,,0,0,0
Z0010,2020,383.2,18,10.0,14.3,,1,9,0
Z0010,2021,382.0,24,25.7,50.0,,0,0,0
Z0010,2022,393.6,20,10.0,21.8,,0,0,0
Z0010,2023,393.5,32,14.9,18.1,,1,16,0
Z0010,2024,497.1,28,25.5,44.3,,0,0,0
Z0011,2015,514.2,41,22.7,35.9,,0,0,0
Z0011,2016,496.0,38,10.0,14.6,,0,0,0
Z0011,2017,512.0,33,14.3,21.0,,0,0,0
Z0011,2018,360.5,27,14.3,22.8,,0,0,0
Z0011,2019,339.0,24,10.0,21.4,,0,0,0
Z0011,2020,451.9,32,16.4,32.0,,0,0,0
Z0011,2021,278.9,21,10.0,17.8,,0,0,0
Z0011,2022,463.2,30,18.7,38.3,,1,9,0
Z0011,2023,490.6,35,10.0,16.6,,0,0,0
Z0011,2024,606.2,41,64.9,124.9,,1,15,0
Z0012,2015,333.7,26,10.9,14.8,,0,0,0
Z0012,2016,290.7,12,10.4,14.8,,1,4,0
Z0012,2017,360.9,29,13.5,71.5,,1,6,0
Z0012,2018,443.6,25,52.8,96.6,,0,0,0
Z0012,2019,429.7,31,16.0,31.1,,0,0,0
Z0012,2020,380.8,30,13.5,29.4,,0,0,0
Z0012,2021,549.5,34,12.0,16.3,,0,0,0
Z0012,2022,325.7,27,15.0,26.0,,0,0,0
Z0012,2023,526.8,38,36.9,73.4,,0,0,0
Z0012,2024,549.8,37,10.4,19.2,,1,10,0
Z0013,2015,303.5,19,12.3,17.4,,0,0,0
Z0013,2016,429.1,39,14.7,24.4,,0,0,0
Z0013,2017,493.8,29,18.3,38.8,,0,0,0
Z0013,2018,304.8,27,10.0,13.1,,0,0,0
Z0013,2019,499.6,35,17.2,31.5,,1,12,0
Z0013,2020,517.6,32,11.6,23.2,,0,0,0
Z0013,2021,567.1,44,12.3,15.7,,1,29,0
Z0013,2022,499.0,39,48.9,75.9,,1,15,0
Z0013,2023,502.6,33,36.7,80.6,,1,2,0
Z0013,2024,667.5,51,28.7,37.9,,0,0,0
Z0014,2015,349.8,25,21.0,35.7,,1,11,0
Z0014,2016,297.7,19,10.0,18.4,,1,4,0
Z0014,2017,255.6,20,10.7,19.5,,1,3,0
Z0014,2018,517.3,38,21.2,44.4,,1,1,0
Z0014,2019,381.0,29,19.3,25.4,,1,1,0
Z0014,2020,458.5,35,23.0,28.3,,1,4,0
Z0014,2021,275.8,16,10.0,14.6,,1,5,0
Z0014,2022,274.9,20,14.3,25.7,,1,3,0
Z0014,2023,441.3,29,21.8,30.8,,1,9,0
Z0014,2024,409.5,30,39.9,76.8,,1,7,0
Z0015,2015,561.7,43,25.4,45.3,,0,0,0
Z0015,2016,413.0,31,34.1,72.5,,1,3,0
Z0015,2017,390.4,31,13.8,23.7,,0,0,0
Z0015,2018,290.1,19,22.7,31.2,,1,1,0
Z0015,2019,340.7,30,12.5,20.8,,1,10,0
Z0015,2020,431.0,39,55.9,69.8,,1,5,0
Z0015,2021,294.6,14,14.5,26.2,,0,0,0
Z0015,2022,373.2,25,64.2,130.8,,1,3,0
Z0015,2023,357.7,24,25.4,39.8,,0,0,0
Z0015,2024,502.5,33,58.8,89.9,,0,0,0
Z0016,2015,446.7,34,29.8,57.3,,1,6,0
