zone_id,localite,region,latitude,longitude,altitude_m,pente_pct,distance_plan_eau_m,type_sol,occupation_sol,taux_impermeabilisation_pct,densite_pop_hab_km2,reseau_assainissement,profondeur_nappe_m,nb_inondations_2005_2014
Z0001,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,Hydromorphe,Agricole,25.0,276,Partiel,2.5,2
Z0002,Pikine,Dakar,14.75951,-17.40893,6.2,0.87,1305,Sableux,Urbain lâche,37.1,6555,Partiel,2.4,0
Z0003,Pikine,Dakar,14.77572,-17.39278,3.0,1.59,1457,Argilo-sableux,Agricole,27.4,334,Partiel,3.8,0
Z0004,Pikine,Dakar,14.72863,-17.37883,8.7,2.7,1343,Hydromorphe,Zone humide (Niayes/bas-fond),45.9,307,Complet,2.0,1
Z0005,Pikine,Dakar,14.73964,-17.39799,8.7,0.81,821,Sableux,Urbain lâche,34.0,4799,Partiel,4.6,1
Z0006,Pikine,Dakar,14.75455,-17.37609,0.5,0.07,3500,Sableux,Urbain lâche,48.4,7965,Partiel,2.6,1
Z0007,Pikine,Dakar,14.74502,-17.39111,11.7,0.52,352,Sableux,Urbain dense,67.0,28483,Partiel,1.9,0
Z0008,Pikine,Dakar,14.76671,-17.41574,13.0,0.41,192,Argileux,Urbain lâche,48.3,3344,Aucun,4.5,2
Z0009,Pikine,Dakar,14.74164,-17.36738,14.9,0.55,918,Sableux,Agricole,20.0,172,Aucun,3.4,1
Z0010,Pikine,Dakar,14.74847,-17.38261,10.4,0.18,446,Hydromorphe,Zone humide (Niayes/bas-fond),16.2,249,Aucun,1.7,1
Z0011,Pikine,Dakar,14.76818,-17.41133,4.4,0.79,1295,Sableux,Urbain lâche,47.3,3914,Aucun,3.0,3
Z0012,Pikine,Dakar,14.75383,-17.39262,6.5,1.11,231,Argilo-sableux,Urbain lâche,45.3,7204,Partiel,3.0,1
Z0013,Pikine,Dakar,14.74823,-17.37753,6.1,0.1,771,Hydromorphe,Zone humide (Niayes/bas-fond),13.1,402,Partiel,2.2,6
Z0014,Pikine,Dakar,14.76448,-17.37771,0.5,1.09,3234,Argileux,Urbain dense,75.5,11064,Aucun,1.6,10
Z0015,Guediawaye,Dakar,14.76866,-17.38819,4.1,1.83,351,Sableux,Urbain lâche,58.3,4558,Aucun,3.6,3
Z0016,Guédiawaye,Dakar,14.76056,-17.40758,6.9,0.38,1370,Latéritique,Urbain dense,94.4,17895,Aucun,2.7,7
Z0017,Guédiawaye,Dakar,14.75545,-17.41062,11.1,2.29,228,Hydromorphe,Urbain dense,62.0,18896,Partiel,1.6,3
Z0018,Guediawaye,Dakar,14.78082,-17.41059,8.6,0.45,1812,Argilo-sableux,Urbain lâche,61.6,3356,Partiel,5.4,1
Z0019,Guédiawaye,Dakar,14.77785,-17.3953,9.2,0.39,541,Hydromorphe,Zone humide (Niayes/bas-fond),21.5,307,Partiel,0.2,6
Z0020,Guediawaye,Dakar,14.78576,-17.42724,11.7,1.51,1411,Latéritique,Urbain dense,88.5,16319,Complet,,1
Z0021,Guediawaye,Dakar,14.79981,-17.39885,4.0,0.17,746,Hydromorphe,Urbain lâche,38.1,11581,Aucun,3.4,4
Z0022,Guédiawaye,Dakar,14.76631,-17.37236,11.4,1.48,1122,Latéritique,Urbain lâche,56.2,8157,Partiel,3.6,2
Z0023,Guediawaye,Dakar,14.76538,-17.39159,8.0,0.13,620,Hydromorphe,Urbain dense,79.1,15289,Aucun,3.2,10
Z0024,Guédiawaye,Dakar,14.77543,-17.3872,12.6,0.06,1117,Hydromorphe,Urbain dense,97.8,20401,Aucun,4.5,6
Z0025,Guédiawaye,Dakar,14.79139,-17.38992,0.5,0.52,597,Argilo-sableux,Végétation naturelle,0.0,304,Complet,1.8,3
Z0026,Guédiawaye,Dakar,14.77695,-17.3986,5.7,1.63,839,Sableux,Urbain lâche,45.0,7996,Complet,3.7,1
Z0027,Guédiawaye,Dakar,14.77626,-17.3964,10.8,0.43,839,Hydromorphe,Zone humide (Niayes/bas-fond),8.5,272,Aucun,1.3,2
Z0028,Keur Massar,Dakar,14.78862,-17.30674,5.3,0.36,371,Argilo-sableux,Urbain lâche,33.3,5045,Aucun,2.9,3
Z0029,Keur-Massar,Dakar,14.77624,-17.33414,9.5,1.37,274,Sableux,Urbain dense,80.8,12474,Partiel,3.9,2
Z0030,Keur Massar,Dakar,14.79713,-17.30447,3.5,1.47,516,Sableux,Urbain dense,79.7,16654,Partiel,2.5,3
Z0031,Keur Massar,Dakar,14.79216,-17.29871,7.9,1.78,94,Argileux,Urbain dense,81.1,8099,Complet,2.8,3
Z0032,Keur Massar,Dakar,14.78615,-17.30948,9.3,0.19,507,Hydromorphe,Urbain dense,81.5,10280,Aucun,3.8,9
Z0033,Keur-Massar,Dakar,14.76553,-17.30636,0.8,0.45,476,Sableux,Urbain dense,68.4,10091,Partiel,,5
Z0034,Keur Massar,Dakar,14.80016,-17.32576,9.8,0.19,82,Hydromorphe,Zone humide (Niayes/bas-fond),36.7,127,Partiel,0.2,10
Z0035,Keur Massar,Dakar,14.77703,-17.30544,10.3,0.08,666,Argilo-sableux,Urbain dense,90.8,19050,Aucun,2.6,6
Z0036,Keur Massar,Dakar,14.78153,-17.31773,12.6,0.32,398,Hydromorphe,Zone humide (Niayes/bas-fond),23.0,219,Aucun,0.4,5
Z0037,Keur Massar,Dakar,14.77812,-17.33691,13.0,0.23,187,Sableux,Urbain dense,78.8,14330,Partiel,4.2,0
Z0038,Keur Massar,Dakar,14.80449,-17.30964,14.9,0.79,1001,Argilo-sableux,Urbain dense,66.5,11157,Aucun,2.4,0
Z0039,Keur Massar,Dakar,14.77203,-17.29852,10.2,0.66,1921,Hydromorphe,Zone humide (Niayes/bas-fond),34.9,160,Aucun,1.4,5
Z0040,Yeumbeul,Dakar,14.78486,-17.3463,13.9,0.89,191,Hydromorphe,Urbain dense,88.9,25243,Partiel,4.2,2
Z0041,Yeumbeul,Dakar,14.79585,-17.33945,2.7,0.22,193,Hydromorphe,Végétation naturelle,0.0,307,Aucun,1.6,6
Z0042,Yeumbeul,Dakar,14.75422,-17.34849,11.4,0.6,732,Sableux,Urbain dense,64.7,8527,Partiel,4.1,2
Z0043,Yeumbeul,Dakar,14.78181,-17.33491,6.9,0.83,375,Sableux,Urbain dense,74.6,17413,Aucun,3.0,3
Z0044,Yeumbeul,Dakar,14.77663,-17.32142,3.8,1.12,751,Sableux,Urbain dense,92.8,9671,Aucun,3.1,4
