,0
is_riverain,-0.760275288449386
altitude_m,-0.40366685346708914
occ_Urbain dense,-0.32456605449744
assainissement_score,-0.20524755636236422
pente_pct,-0.20104108499456735
assain_Complet,-0.19357053671497346
log_distance_plan_eau,-0.18492464765908423
distance_plan_eau_m,-0.15139286417491818
assain_Inconnu,-0.09190146031687975
indice_pluie_impermeabilisation,-0.07804839341372602
nb_jours_pluie,-0.06612681837547477
sol_Sableux,-0.0639787014699805
profondeur_nappe_m,-0.03823967839236235
sol_Argilo-sableux,-0.03719940739495744
occ_Végétation naturelle,-0.03492665786607884
sol_Latéritique,0.010894111722449825
sol_Argileux,0.04674000952701005
occ_Urbain lâche,0.047094651988509095
sol_Hydromorphe,0.051716860969583583
assain_Partiel,0.05541352830324362
cumul_pluie_hivernage_mm,0.08083574681387472
assain_Aucun,0.15191764346269623
occ_Agricole,0.1544326240403558
occ_Zone humide (Niayes/bas-fond),0.23429327895631136
densite_pop_hab_km2,0.26450995531246596
pluie_max_72h_mm,0.30532354778932547
nb_inondations_2005_2014,0.3639480453284742
historique_frequence,0.36394804532847486
zone_basse,0.3738003739215739
taux_impermeabilisation_pct,0.4902287375476452
pluie_max_24h_mm,0.49970820683034783
hauteur_crue_fleuve_m,0.7840193907853219
