localite,region,n_zones,proba_moyenne,pct_tres_eleve,population_proxy
Saint-Louis,Saint-Louis,12,0.987884762466236,100.0,92272
Malika,Dakar,10,0.980459711311289,100.0,78910
Matam,Matam,11,0.9681171976364688,100.0,70863
Podor,Saint-Louis,9,0.9656612448529215,100.0,29733
Keur Massar,Dakar,12,0.9604150649192206,100.0,107686
Yeumbeul,Dakar,8,0.9540819919229662,100.0,75457
Kaolack,Kaolack,13,0.9456726816798245,100.0,165341
Bakel,Tambacounda,8,0.9380800676580838,100.0,16305
Guédiawaye,Dakar,13,0.9378812212573373,100.0,125331
Richard-Toll,Saint-Louis,11,0.9377334652607753,100.0,68083
Diamaguène,Dakar,11,0.9328288883501487,90.9090909090909,87924
Pikine,Dakar,14,0.9322571700267618,100.0,75068
Joal-Fadiouth,Thiès,14,0.9168910737711962,100.0,61961
Bargny,Dakar,13,0.9065584090097628,100.0,105259
Ziguinchor,Ziguinchor,12,0.8957000400560958,83.33333333333334,128270
Jaxaay,Dakar,9,0.8888099575030384,88.88888888888889,50036
Mbao,Dakar,13,0.8864730909629266,92.3076923076923,140164
Fatick,Fatick,9,0.8861704705286639,88.88888888888889,51839
Rufisque,Dakar,10,0.8783728898541481,90.0,153423
Thiaroye,Dakar,12,0.8717731965645027,91.66666666666666,122190
Yoff,Dakar,14,0.8648064014813641,85.71428571428571,136383
Sédhiou,Sédhiou,12,0.8492666421414818,75.0,25745
Grand Yoff,Dakar,14,0.8467249475128111,85.71428571428571,118726
Mbour,Thiès,12,0.8396423234538521,83.33333333333334,101115
Médina,Dakar,9,0.8241847471508911,66.66666666666666,84737
Parcelles Assainies,Dakar,11,0.8029850462683812,72.72727272727273,103056
Kaffrine,Kaffrine,10,0.7941685394782392,60.0,31355
Diourbel,Diourbel,9,0.7869130407774821,77.77777777777779,41078
Ouakam,Dakar,11,0.7766828174983622,63.63636363636363,67310
Tambacounda,Tambacounda,11,0.7576580677259752,45.45454545454545,56311
Touba,Diourbel,14,0.7571934648168821,42.857142857142854,75628
Kolda,Kolda,11,0.7312740925320788,45.45454545454545,47496
Dakar-Plateau,Dakar,9,0.7259947897358618,44.44444444444444,107637
Mbacké,Diourbel,10,0.6556460019576926,50.0,43940
Tivaouane,Thiès,9,0.6089258790645582,33.33333333333333,2142
Louga,Louga,13,0.5869171898309204,15.384615384615385,47432
Thiès,Thiès,11,0.5706167389616295,27.27272727272727,129690
Kédougou,Kédougou,11,0.5036387183441614,36.36363636363637,19037
