zone_id,localite,region,latitude,longitude,altitude_m,pente_pct,distance_plan_eau_m,type_sol,occupation_sol,taux_impermeabilisation_pct,densite_pop_hab_km2,reseau_assainissement,profondeur_nappe_m,nb_inondations_2005_2014,annee,pluie_max_24h_mm,pluie_max_72h_mm,nb_jours_pluie,cumul_pluie_hivernage_mm,hauteur_crue_fleuve_m,is_riverain,indice_pluie_impermeabilisation,log_distance_plan_eau,zone_basse,assainissement_score,historique_frequence,probabilite_inondation,niveau_risque,facteur_dominant,facteur_dominant_label
Z0001,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,Hydromorphe,Agricole,25.0,276,Partiel,2.5,2,2025,120.0,192.0,31.9,420.73,0.0,0,30.0,5.529429087511423,1,1,0.2,0.9780765601630895,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0002,Pikine,Dakar,14.75951,-17.40893,6.2,0.87,1305,Sableux,Urbain lâche,37.1,6555,Partiel,2.4,0,2025,120.0,192.0,31.7,455.16999999999996,0.0,0,44.52,7.174724309836376,1,1,0.0,0.913983492213183,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0003,Pikine,Dakar,14.77572,-17.39278,3.0,1.59,1457,Argilo-sableux,Agricole,27.4,334,Partiel,3.8,0,2025,120.0,192.0,30.9,421.81000000000006,0.0,0,32.88,7.284820912568604,1,1,0.0,0.9090662115976648,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0004,Pikine,Dakar,14.72863,-17.37883,8.7,2.7,1343,Hydromorphe,Zone humide (Niayes/bas-fond),45.9,307,Complet,2.0,1,2025,120.0,192.0,26.9,394.22999999999996,0.0,0,55.08,7.203405521083095,0,2,0.1,0.8152850751425469,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0005,Pikine,Dakar,14.73964,-17.39799,8.7,0.81,821,Sableux,Urbain lâche,34.0,4799,Partiel,4.6,1,2025,120.0,192.0,26.6,410.06000000000006,0.0,0,40.8,6.71174039505618,0,1,0.1,0.8729060075357145,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0006,Pikine,Dakar,14.75455,-17.37609,0.5,0.07,3500,Sableux,Urbain lâche,48.4,7965,Partiel,2.6,1,2025,120.0,192.0,28.4,392.27,0.0,0,58.08,8.160803920954665,1,1,0.1,0.9400532341250912,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0007,Pikine,Dakar,14.74502,-17.39111,11.7,0.52,352,Sableux,Urbain dense,67.0,28483,Partiel,1.9,0,2025,120.0,192.0,26.6,399.13,0.0,0,80.4,5.8664680569332965,0,1,0.0,0.8927086072057839,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0008,Pikine,Dakar,14.76671,-17.41574,13.0,0.41,192,Argileux,Urbain lâche,48.3,3344,Aucun,4.5,2,2025,120.0,192.0,38.5,544.61,0.0,0,57.96,5.262690188904886,0,0,0.2,0.9686195107964157,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0009,Pikine,Dakar,14.74164,-17.36738,14.9,0.55,918,Sableux,Agricole,20.0,172,Aucun,3.4,1,2025,120.0,192.0,28.3,405.87,0.0,0,24.0,6.823286122355687,0,0,0.1,0.9110533930275451,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0010,Pikine,Dakar,14.74847,-17.38261,10.4,0.18,446,Hydromorphe,Zone humide (Niayes/bas-fond),16.2,249,Aucun,1.7,1,2025,120.0,192.0,28.6,431.95,0.0,0,19.44,6.102558594613569,0,0,0.1,0.9582441441857629,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0011,Pikine,Dakar,14.76818,-17.41133,4.4,0.79,1295,Sableux,Urbain lâche,47.3,3914,Aucun,3.0,3,2025,120.0,192.0,32.2,451.25,0.0,0,56.76,7.16703787691222,1,0,0.3,0.9801972179339082,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0012,Pikine,Dakar,14.75383,-17.39262,6.5,1.11,231,Argilo-sableux,Urbain lâche,45.3,7204,Partiel,3.0,1,2025,120.0,192.0,28.9,419.12,0.0,0,54.36,5.44673737166631,0,1,0.1,0.9206348689243835,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0013,Pikine,Dakar,14.74823,-17.37753,6.1,0.1,771,Hydromorphe,Zone humide (Niayes/bas-fond),13.1,402,Partiel,2.2,6,2025,120.0,192.0,34.8,478.46000000000004,0.0,0,15.72,6.648984550024776,1,1,0.6,0.9932598930854687,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0014,Pikine,Dakar,14.76448,-17.37771,0.5,1.09,3234,Argileux,Urbain dense,75.5,11064,Aucun,1.6,10,2025,120.0,192.0,26.1,366.14,0.0,0,90.6,8.081784206935001,1,0,1.0,0.9975121644381082,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0015,Guédiawaye,Dakar,14.76866,-17.38819,4.1,1.83,351,Sableux,Urbain lâche,58.3,4558,Aucun,3.6,3,2025,120.0,192.0,28.9,395.49,0.0,0,69.96,5.863631175598097,1,0,0.3,0.9848531233994835,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0016,Guédiawaye,Dakar,14.76056,-17.40758,6.9,0.38,1370,Latéritique,Urbain dense,94.4,17895,Aucun,2.7,7,2025,120.0,192.0,33.4,471.83000000000004,0.0,0,113.28,7.223295679562314,1,0,0.7,0.9961952856749993,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0017,Guédiawaye,Dakar,14.75545,-17.41062,11.1,2.29,228,Hydromorphe,Urbain dense,62.0,18896,Partiel,1.6,3,2025,120.0,192.0,31.8,458.75,0.0,0,74.4,5.43372200355424,0,1,0.3,0.9446418242489864,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0018,Guédiawaye,Dakar,14.78082,-17.41059,8.6,0.45,1812,Argilo-sableux,Urbain lâche,61.6,3356,Partiel,5.4,1,2025,120.0,192.0,28.3,390.5,0.0,0,73.92,7.502738210754851,0,1,0.1,0.8843212330670599,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0019,Guédiawaye,Dakar,14.77785,-17.3953,9.2,0.39,541,Hydromorphe,Zone humide (Niayes/bas-fond),21.5,307,Partiel,0.2,6,2025,120.0,192.0,31.4,430.81000000000006,0.0,0,25.8,6.295266001439646,0,1,0.6,0.9869503949289763,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0020,Guédiawaye,Dakar,14.78576,-17.42724,11.7,1.51,1411,Latéritique,Urbain dense,88.5,16319,Complet,3.3,1,2025,120.0,192.0,33.2,464.1,0.0,0,106.2,7.252762418053187,0,2,0.1,0.7533156382039197,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0021,Guédiawaye,Dakar,14.79981,-17.39885,4.0,0.17,746,Hydromorphe,Urbain lâche,38.1,11581,Aucun,3.4,4,2025,120.0,192.0,31.9,437.96000000000004,0.0,0,45.72,6.616065185132817,1,0,0.4,0.9925350474018872,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0022,Guédiawaye,Dakar,14.76631,-17.37236,11.4,1.48,1122,Latéritique,Urbain lâche,56.2,8157,Partiel,3.6,2,2025,120.0,192.0,32.1,461.07,0.0,0,67.44,7.023758954738443,0,1,0.2,0.9274325198675913,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0023,Guédiawaye,Dakar,14.76538,-17.39159,8.0,0.13,620,Hydromorphe,Urbain dense,79.1,15289,Aucun,3.2,10,2025,120.0,192.0,33.6,462.85,0.0,0,94.92,6.431331081933479,1,0,1.0,0.9986663810855922,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0024,Guédiawaye,Dakar,14.77543,-17.3872,12.6,0.06,1117,Hydromorphe,Urbain dense,97.8,20401,Aucun,4.5,6,2025,120.0,192.0,31.1,409.38,0.0,0,117.36,7.0192966537150445,0,0,0.6,0.9905963140034573,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0025,Guédiawaye,Dakar,14.79139,-17.38992,0.5,0.52,597,Argilo-sableux,Végétation naturelle,0.0,304,Complet,1.8,3,2025,120.0,192.0,35.1,524.13,0.0,0,0.0,6.393590753950631,1,2,0.3,0.8938897832397931,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0026,Guédiawaye,Dakar,14.77695,-17.3986,5.7,1.63,839,Sableux,Urbain lâche,45.0,7996,Complet,3.7,1,2025,120.0,192.0,32.7,424.91999999999996,0.0,0,54.0,6.733401891837359,1,2,0.1,0.8783382644622783,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0027,Guédiawaye,Dakar,14.77626,-17.3964,10.8,0.43,839,Hydromorphe,Zone humide (Niayes/bas-fond),8.5,272,Aucun,1.3,2,2025,120.0,192.0,25.8,373.05,0.0,0,10.2,6.733401891837359,0,0,0.2,0.9607200667613599,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
